,W/L,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,Weight class,Method,Round,Time
1046,win,Jared Cannonier,Anderson Silva,1,0,17,8,0,0,0,0,Middleweight,KO/TKO,1,4:47
1047,win,Alexander Volkanovski,Jose Aldo,0,0,95,29,0,0,0,0,Featherweight,U-DEC,3,5:00
1048,win,Laureano Staropoli,Thiago Alves,0,0,54,58,1,1,0,0,Welterweight,U-DEC,3,5:00
1049,win,Irene Aldana,Bethe Correia,0,0,83,81,0,0,1,0,Women's Bantamweight,SUB,3,3:24
1050,win,Ryan Spann,Rogerio Nogueira,1,0,13,6,1,0,1,0,Light Heavyweight,KO/TKO,1,2:07
1051,win,Thiago Moises,Kurt Holobaugh,0,0,66,39,4,2,1,0,Lightweight,U-DEC,3,5:00
1052,win,Warlley Alves,Sergio Moraes,1,0,72,20,0,0,0,0,Welterweight,KO/TKO,3,4:13
1053,win,Clay Guida,BJ Penn,0,0,80,64,1,0,0,0,Lightweight,U-DEC,3,5:00
1054,win,Luana Carolina,Priscila Cachoeira,1,0,111,69,0,0,3,0,Women's Flyweight,U-DEC,3,5:00
1055,win,Raoni Barcelos,Carlos Huachin,1,0,59,20,0,0,1,0,Bantamweight,KO/TKO,2,4:49
1056,win,Viviane Araujo,Talita Bernardo,1,0,61,46,3,0,0,0,Women's Bantamweight,KO/TKO,3,0:48
1057,win,Donald Cerrone,Al Iaquinta,2,0,138,90,0,0,0,0,Lightweight,U-DEC,5,5:00
1058,win,Derek Brunson,Elias Theodorou,0,0,56,65,4,0,0,0,Middleweight,U-DEC,3,5:00
1059,win,Shane Burgos,Cub Swanson,0,0,134,129,0,0,0,0,Featherweight,S-DEC,3,5:00
1060,win,Merab Dvalishvili,Brad Katona,0,0,55,32,5,0,0,0,Bantamweight,U-DEC,3,5:00
1061,win,Walt Harris,Serghei Spivac,1,0,17,1,0,0,0,0,Heavyweight,KO/TKO,1,0:50
1062,win,Andrew Sanchez,Marc-Andre Barriault,0,0,72,69,2,0,0,0,Middleweight,U-DEC,3,5:00
1063,win,Macy Chiasson,Sarah Moras,0,0,43,9,0,1,0,1,Women's Bantamweight,KO/TKO,2,2:22
1064,win,Vince Morales,Aiemann Zahabi,0,0,59,28,0,1,0,0,Bantamweight,U-DEC,3,5:00
1065,win,Nordine Taleb,Kyle Prepolec,0,0,90,52,0,0,0,0,Welterweight,U-DEC,3,5:00
1066,win,Matt Sayles,Kyle Nelson,0,0,75,26,0,2,1,4,Featherweight,SUB,3,3:16
1067,win,Arjan Bhullar,Juan Adams,0,0,41,81,2,0,0,0,Heavyweight,U-DEC,3,5:00
1068,win,Cole Smith,Mitch Gagnon,0,1,38,15,2,0,2,2,Bantamweight,U-DEC,3,5:00
1069,win,Jack Hermansson,Jacare Souza,0,0,148,90,3,0,1,0,Middleweight,U-DEC,5,5:00
1070,win,Greg Hardy,Dmitrii Smoliakov,0,0,14,1,0,0,0,0,Heavyweight,KO/TKO,1,2:15
1071,win,Mike Perry,Alex Oliveira,0,0,65,48,0,0,0,0,Welterweight,U-DEC,3,5:00
1072,win,Glover Teixeira,Ion Cutelaba,0,0,30,74,0,0,1,0,Light Heavyweight,SUB,2,3:37
1073,win,Cory Sandhagen,John Lineker,0,0,120,106,2,1,0,1,Bantamweight,S-DEC,3,5:00
1074,win,Roosevelt Roberts,Thomas Gifford,0,0,53,30,2,1,0,0,Lightweight,U-DEC,3,5:00
1075,win,Takashi Sato,Ben Saunders,1,0,28,46,0,0,0,0,Welterweight,KO/TKO,2,1:18
1076,win,Augusto Sakai,Andrei Arlovski,0,0,42,75,0,0,0,0,Heavyweight,S-DEC,3,5:00
1077,win,Carla Esparza,Virna Jandiroba,0,0,25,17,4,3,0,0,Women's Strawweight,U-DEC,3,5:00
1078,win,Gilbert Burns,Mike Davis,0,0,49,13,3,0,1,0,Lightweight,SUB,2,4:15
1079,win,Jim Miller,Jason Gonzalez,0,0,6,10,2,0,1,0,Lightweight,SUB,1,2:12
1080,win,Angela Hill,Jodie Esquibel,0,0,117,57,0,0,0,0,Women's Strawweight,U-DEC,3,5:00
1081,win,Dhiego Lima,Court McGee,0,1,65,65,0,0,0,0,Welterweight,S-DEC,3,5:00
1082,win,Alistair Overeem,Aleksei Oleinik,1,0,29,38,0,0,0,0,Heavyweight,KO/TKO,1,4:45
1083,win,Islam Makhachev,Arman Tsarukyan,0,0,14,13,4,1,0,0,Lightweight,U-DEC,3,5:00
1084,win,Sergei Pavlovich,Marcelo Golm,1,0,17,5,0,0,0,0,Heavyweight,KO/TKO,1,1:06
1085,win,Roxanne Modafferi,Antonina Shevchenko,0,0,33,64,5,0,0,0,Women's Flyweight,S-DEC,3,5:00
1086,win,Krzysztof Jotko,Alen Amedovski,0,0,43,6,4,0,0,0,Middleweight,U-DEC,3,5:00
1087,win,Movsar Evloev,SeungWoo Choi,0,0,50,26,5,0,0,0,Featherweight,U-DEC,3,5:00
1088,win,Sultan Aliev,Keita Nakamura,0,0,25,29,2,0,0,0,Welterweight,U-DEC,3,5:00
1089,win,Alexander Yakovlev,Alex Da Silva,0,0,14,8,1,1,1,0,Lightweight,SUB,2,3:10
1090,win,Shamil Abdurakhimov,Marcin Tybura,1,0,36,28,0,0,0,0,Heavyweight,KO/TKO,2,3:15
1091,win,Michal Oleksiejczuk,Gadzhimurad Antigulov,3,0,8,6,0,0,0,0,Light Heavyweight,KO/TKO,1,0:44
1092,win,Magomed Mustafaev,Rafael Fiziev,1,0,10,1,0,0,0,0,Lightweight,KO/TKO,1,1:26
1093,win,Dustin Poirier,Max Holloway,0,0,178,181,1,0,0,1,Lightweight,U-DEC,5,5:00
1094,win,Israel Adesanya,Kelvin Gastelum,4,0,109,91,0,1,2,0,Middleweight,U-DEC,5,5:00
1095,win,Khalil Rountree Jr.,Eryk Anders,4,0,79,16,0,0,0,0,Light Heavyweight,U-DEC,3,5:00
1096,win,Dwight Grant,Alan Jouban,0,0,38,24,0,1,0,0,Welterweight,S-DEC,3,5:00
1097,win,Nikita Krylov,Ovince Saint Preux,0,0,27,4,1,3,2,0,Light Heavyweight,SUB,2,2:30
1098,win,Matt Frevola,Jalin Turner,0,0,31,35,4,0,2,1,Lightweight,U-DEC,3,5:00
1099,win,Alexandre Pantoja,Wilson Reis,1,0,23,1,0,1,0,0,Flyweight,KO/TKO,1,2:58
1100,win,Max Griffin,Zelim Imadaev,0,0,47,64,6,0,3,0,Welterweight,M-DEC,3,5:00
1101,win,Khalid Taha,Boston Salmon,1,0,5,0,0,0,0,0,Bantamweight,KO/TKO,1,0:25
1102,win,Belal Muhammad,Curtis Millender,0,0,47,48,2,0,0,0,Welterweight,U-DEC,3,5:00
1103,win,Montel Jackson,Andre Soukhamthath,0,0,64,30,3,1,0,0,Bantamweight,U-DEC,3,5:00
1104,win,Poliana Botelho,Lauren Mueller,0,0,47,47,2,0,0,0,Women's Flyweight,U-DEC,3,5:00
1105,win,Brandon Davis,Randy Costa,0,0,35,46,0,0,1,0,Bantamweight,SUB,2,1:12
1106,win,Justin Gaethje,Edson Barboza,1,0,20,13,0,0,0,0,Lightweight,KO/TKO,1,2:30
1107,win,Jack Hermansson,David Branch,0,0,3,1,1,0,1,0,Middleweight,SUB,1,0:49
1108,win,Josh Emmett,Michael Johnson,1,0,22,24,0,0,0,0,Featherweight,KO/TKO,3,4:14
1109,win,Michelle Waterson,Karolina Kowalkiewicz,0,0,64,57,2,0,1,0,Women's Strawweight,U-DEC,3,5:00
1110,win,Paul Craig,Kennedy Nzechukwu,0,0,25,40,1,0,2,0,Light Heavyweight,SUB,3,4:20
1111,win,Sodiq Yusuff,Sheymon Moraes,1,0,73,54,0,0,0,0,Featherweight,U-DEC,3,5:00
1112,win,Marina Rodriguez,Jessica Aguilar,1,0,118,50,0,0,0,1,Women's Strawweight,U-DEC,3,5:00
1113,win,Desmond Green,Ross Pearson,1,0,25,12,1,0,0,0,Lightweight,KO/TKO,1,2:52
1114,win,Kevin Aguilar,Enrique Barzola,0,0,58,52,0,0,0,0,Featherweight,U-DEC,3,5:00
1115,win,Kevin Holland,Gerald Meerschaert,0,0,27,10,1,6,2,4,Middleweight,S-DEC,3,5:00
1116,win,Casey Kenney,Ray Borg,0,0,32,17,2,7,0,0,Bantamweight,U-DEC,3,5:00
1117,win,Maryna Moroz,Sabina Mazo,0,0,56,64,1,0,0,0,Women's Flyweight,U-DEC,3,5:00
1118,win,Alex Perez,Mark De La Rosa,0,0,60,26,2,0,0,0,Bantamweight,U-DEC,3,5:00
1119,win,Anthony Pettis,Stephen Thompson,1,0,32,47,0,0,0,0,Welterweight,KO/TKO,2,4:55
1120,win,Curtis Blaydes,Justin Willis,0,0,22,2,7,0,0,0,Heavyweight,U-DEC,3,5:00
1121,win,John Makdessi,Jesus Pinedo,0,0,73,37,0,0,0,0,Lightweight,U-DEC,3,5:00
1122,win,Jussier Formiga,Deiveson Figueiredo,0,0,26,14,3,0,0,0,Flyweight,U-DEC,3,5:00
1123,win,Luis Pena,Steven Peterson,0,0,52,34,1,4,0,1,Featherweight,U-DEC,3,5:00
1124,win,Maycee Barber,JJ Aldrich,0,0,55,25,0,0,0,0,Women's Flyweight,KO/TKO,2,3:01
1125,win,Bryce Mitchell,Bobby Moffett,0,0,17,9,0,5,2,2,Featherweight,U-DEC,3,5:00
1126,win,Marlon Vera,Frankie Saenz,1,0,12,4,0,0,0,0,Bantamweight,KO/TKO,1,1:25
1127,win,Jennifer Maia,Alexis Davis,0,0,60,72,0,1,0,0,Women's Flyweight,U-DEC,3,5:00
1128,win,Randa Markos,Angela Hill,0,0,13,2,1,0,1,0,Women's Strawweight,SUB,1,4:24
